clade_name	Acinetobacter	Aerococcus	Alphabaculovirus	Betabaculovirus	Brevundimonas	Candidatus_Bathyarchaeota_unclassified	Candidatus_Heimdallarchaeota_unclassified	Candidatus_Ruthia	Candidatus_Scalindua	Cutibacterium	Cycloclasticus	Cyprinivirus	Enhydrobacter	Epsilon15virus	Erythrobacter	Gammaproteobacteria_unclassified	Gammaretrovirus	Lentivirus	Limimaricola	Macavirus	Malassezia	Marinobacterium	Methanococcoides	Methanosarcinales_unclassified	Micrococcus	Myoviridae_unclassified	P1virus	Podoviridae_unclassified	Pseudomonas	Rdjlvirus	Retroviridae_unclassified	Rhadinovirus	Siphoviridae_unclassified	Staphylococcus	Stenotrophomonas	Sulfurovum	Thaumarchaeota_unclassified	Thermoplasmatales_unclassified	Varicellovirus	Viruses_unclassified	Weissella
CS26_Fast_PCR_10.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00858	0	0.00017	0	0.00173	0	0	0	0	0.00025	0	0	0	0	0.03721	0	0	0
CS26_Fast_PCR_1.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0.00028	0	0	0	0	0	0	0	0	0	0	0	0.00803	0	0	0	0.0017	0	0	0	0	0	0	0	0	0	0.03388	0	0	0
CS28_Cov_WGS.metaphlan3	0	0	0	0	0	0.00164	0.00116	0.00013	0.00042	0	0	0.00026	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00306	0	0.00314	0	0	0	0.00044	0.0016	0	0	0.00152	0	0.00137	0	0	0
CS28_enzy_WGS.metaphlan3	0	0	0	0.00043	0	0.0014	0.00067	0	0.00029	0	0	0.00024	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00088	0	0.00485	0	0	0	0	0	0	0	0.00105	0	0.00126	0	0	0
CS28_Fast_PCR_0.metaphlan3	0	0	0	0	0	0.00143	0.00086	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00477	0	0	0	0.00053	0	0	0	0.00225	0	0.00092	0	0	0
CS28_Fast_PCR_10.metaphlan3	0	0	0	0	0	0.00277	0.00113	0	0.00019	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00E-05	0	0	0.00197	0	0.00721	0	0	0	0	0	0	0	0.00135	0	0.00226	0	0	0
CS28_Fast_PCR_1.metaphlan3	0	0	0	0	0	0.00227	0.00115	0	0.00021	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00E-05	0	0	0	0	0.00469	0	0	0	0	0	0	0	0.00195	0	0.00168	0.00031	0	0
CS31_Cov_WGS.metaphlan3	0	0	0	0	0	0	0	0	0.00072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02008	0	0.00281	0	0.00489	0	0	0	0.00105	0.00034	0	0	0.01195	0	0.00266	0.00057	0	0
CS31_enzy_WGS.metaphlan3	0	0	0	0	0	0	0	0	0.00057	0	0	0.00055	0	0	0	0	0	0	0	0.00064	0	0	0	0.01459	0	0	0	0.00476	0	0	0	0	0	0	0	0.00669	0	0.00252	0.00057	0	0
CS31_Fast_PCR_0.metaphlan3	0	0	0	0	0	0	0	0	0.00034	0.00012	0	0.0006	0	0	0	0	0	0	0	0	0	0	0	0.01347	0	0	0	0.00553	0	0	0	0	0.00133	0	0	0.01126	0	0.00237	0	0	0
CS31_Fast_PCR_10.metaphlan3	0	0	0	0	0	0	0	0	0.001	0	0	0.00067	0	0	0	0	0	0	0	0	0	0	0	0.01309	0	0	0	0.00466	0	0	0	0	0	0	0	0.01997	0	0.00343	0	0	0
CS31_Fast_PCR_1.metaphlan3	0	0	0	0	0	0	0	0	0.00027	0	0	0	0	0.0013	0	0	0	0	0	0.00059	0	0	0	0.01137	0	0	0	0.00429	0	0	0.0022	0	0.0017	0	0	0.01287	0	0.00248	0	0	0
CS33_Cov_WGS.metaphlan3	0	0	0	0	0	0	0	0.00026	0.00055	0	0	0.00103	0	0	0	0.00019	0	0	0	0	0	0.00502	0	0.00041	0	0	0	0.00372	0.00032	0	0	0	0.00192	0	0	0.00874	0	0.00066	0	0	0
CS33_enzy_WGS.metaphlan3	0	0	0	0	0	0	0	0	9.00E-05	0	0	0.00225	0	0	0	0	0	0	0.00028	0.00174	0	0.00885	0	0.00052	0	0	0	0.00583	0.00064	0	0	0.00095	0.00298	0	0	0.01303	0	0.00074	0	0	0
CS33_Fast_PCR_0.metaphlan3	0	0	0	0	0	0	0	8.00E-05	5.00E-05	0.00055	0	0.00136	0	0	0.00015	0	0	0	0	0	0	0.00954	0	0.00032	0	0	0	0.00292	0	0	0	0.00115	0.0008	0	0.00078	0.02218	0	0.00104	0.00063	0	0
CS33_Fast_PCR_10.metaphlan3	0	0	0	0	0	0	0	0.00027	0.00028	0	0	0.00181	0	0	0	0	0	0	0	0.00062	0	0.00723	0	0.00057	0	0.00019	0	0.00556	0.00032	0	0	0.00102	0.00183	0	0.00025	0.01384	0	0.00102	0	0	0
CS33_Fast_PCR_1.metaphlan3	0	0	0	0	0	0	0	0	0.00044	0	0	0.00202	0	0.00074	0.00016	0	0	0	0	0	0	0.00644	0	3.00E-05	0	0	0	0.00191	0	0	0	0.00171	0.00737	0	0	0.01097	0	0.0007	0	0	0
CS35_Cov_WGS.metaphlan3	0	0	0	0	0	0.00018	0.00034	0	0	0	0	0.00108	0	0	0	0	0	0	0	0	0	0	0	0.05706	0	0.00055	0	0.00638	0	0	0	0.00183	0.00039	0	0	0.0024	0	0.05067	0	0	0
CS35_enzy_WGS.metaphlan3	0	0	0	0	0	0.0004	0.00046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01934	0	0.00201	0	0.0035	0	0	0	0	0	0	0	0.00331	7.00E-05	0.03912	0.00037	0	0
CS35_Fast_PCR_0.metaphlan3	0	0	0	0	0.00016	0.00022	0.00045	0	0	0.00015	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01948	0	0	0	0.00488	0	0	0.00162	0	0.00047	0	0	0.00618	0	0.03933	0	0	0
CS35_Fast_PCR_10.metaphlan3	0	0	0	0	0	0.00037	0.00034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01584	0	0.00078	0	0.003	0	0	0	0	0	0	0	0.00291	0	0.04359	0	0	0
CS35_Fast_PCR_1.metaphlan3	0	0	0	0	0	0.00028	0.00031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01775	0	0	0	0.00303	0	0	0	0	0	0	0	0.00359	0	0.0403	0	0	0
CS36_Cov_WGS.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5025	0	0	0	0.00569	0	0	0	0	0	0	0	0	0	0.018	0	0	0
CS36_enzy_WGS.metaphlan3	0	0	0	0.00136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59435	0	0	0	0.00889	0	0	0	0	0	0	0	0	0	0.02073	0	0	0
CS36_Fast_PCR_0.metaphlan3	0	0	0	0	0	0	0	0	0	0.00029	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4858	0	0	0	0.00558	0	0	0.0062	0	0	0	0	0	0	0.01881	0	0	0
CS36_Fast_PCR_10.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48785	0	0	0	0.00786	0	0	0	0	0	0	0	0	0	0.01925	0	0	0
CS36_Fast_PCR_1.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51244	0	0	0	0.00947	0	0	0	0	0	0	0	0.00059	0	0.01892	0	0	0
CS37_Cov_WGS.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01061	0	0	0	0.00262	0	0	0	0	0	0	0	0.00045	0	0.03792	0	0	0
CS37_enzy_WGS.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00033	0	0	0	0.01288	0	0.00055	0	0.00061	0	0	0	0	0	0	0	0	0	0.04177	0	0	0
CS37_Fast_PCR_0.metaphlan3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00886	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03637	0	0	0
